Ser No,0 to 9,B/S,R/G
16100052845,2,S,R
16100052846,6,B,R
16100052847,0,S,R
16100052848,2,S,R
16100052849,4,S,R
16100052850,7,B,G
16100052851,3,S,G
16100052852,9,B,G
16100052853,5,B,G
16100052854,3,S,G
16100052855,2,S,R
16100052856,2,S,R
16100052857,2,S,R
16100052858,8,B,R
16100052859,4,S,R
16100052860,6,B,R
16100052861,8,B,R
16100052862,1,S,G
16100052863,0,S,R
16100052864,0,S,R
16100052865,6,B,R
16100052866,1,S,G
16100052867,1,S,G
16100052868,0,S,R
16100052869,1,S,G
16100052870,0,S,R
16100052871,4,S,R
16100052872,3,S,G
16100052873,4,S,R
16100052874,5,B,G
16100052875,2,S,R
16100052876,2,S,R
16100052877,3,S,G
16100052878,1,S,G
16100052879,5,B,G
16100052880,8,B,R
17100050001,8,B,R
17100050002,8,B,R
17100050003,1,S,G
17100050004,5,B,G
17100050005,3,S,G
17100050006,5,B,G
17100050007,2,S,R
17100050008,2,S,R
17100050009,5,B,G
17100050010,1,S,G
17100050011,6,B,R
17100050012,0,S,R
17100050013,9,B,G
17100050014,7,B,G
17100050015,9,B,G
17100050016,4,S,R
17100050017,4,S,R
17100050018,5,B,G
17100050019,5,B,G
17100050020,0,S,R
17100050021,5,B,G
17100050022,0,S,R
17100050023,6,B,R
17100050024,3,S,G
17100050025,3,S,G
17100050026,9,B,G
17100050027,7,B,G
17100050028,8,B,R
17100050029,6,B,R
17100050030,9,B,G
17100050031,4,S,R
17100050032,3,S,G
17100050033,9,B,G
17100050034,3,S,G
17100050035,5,B,G
17100050036,4,S,R
17100050037,8,B,R
17100050038,1,S,G
17100050039,2,S,R
17100050040,2,S,R
17100050041,3,S,G
17100050042,1,S,G
17100050043,3,S,G
17100050044,5,B,G
17100050045,7,B,G
17100050046,2,S,R
17100050047,5,B,G
17100050048,5,B,G
17100050049,8,B,R
17100050050,8,B,R
17100050051,3,S,G
17100050052,8,B,R
17100050053,7,B,G
17100050054,8,B,R
17100050055,4,S,R
17100050056,8,B,R
17100050057,1,S,G
17100050058,9,B,G
17100050059,5,B,G
17100050060,7,B,G
17100050061,8,B,R
17100050062,1,S,G
17100050063,6,B,R
17100050064,0,S,R
17100050065,8,B,R
17100050066,9,B,G
17100050067,9,B,G
17100050068,9,B,G
17100050069,8,B,R
17100050070,5,B,G
17100050071,5,B,G
17100050072,7,B,G
17100050073,1,S,G
17100050074,3,S,G
17100050075,9,B,G
17100050076,5,B,G
17100050077,5,B,G
17100050078,4,S,R
17100050079,0,S,R
17100050080,2,S,R
17100050081,5,B,G
17100050082,6,B,R
17100050083,5,B,G
17100050084,7,B,G
17100050085,9,B,G
17100050086,4,S,R
17100050087,8,B,R
17100050088,6,B,R
17100050089,9,B,G
17100050090,8,B,R
17100050091,4,S,R
17100050092,5,B,G
17100050093,4,S,R
17100050094,2,S,R
17100050095,1,S,G
17100050096,6,B,R
17100050097,1,S,G
17100050098,9,B,G
17100050099,4,S,R
17100050100,4,S,R
17100050101,8,B,R
17100050102,6,B,R
17100050103,9,B,G
17100050104,0,S,R
17100050105,8,B,R
17100050106,2,S,R
17100050107,4,S,R
17100050108,3,S,G
17100050109,6,B,R
17100050110,6,B,R
17100050111,7,B,G
17100050112,0,S,R
17100050113,3,S,G
17100050114,5,B,G
17100050115,7,B,G
17100050116,2,S,R
17100050117,7,B,G
17100050118,6,B,R
17100050119,4,S,R
17100050120,6,B,R
17100050121,9,B,G
17100050122,3,S,G
17100050123,2,S,R
17100050124,2,S,R
17100050125,3,S,G
17100050126,5,B,G
17100050127,8,B,R
17100050128,4,S,R
17100050129,4,S,R
17100050130,0,S,R
17100050131,9,B,G
17100050132,3,S,G
17100050133,2,S,R
17100050134,2,S,R
17100050135,9,B,G
17100050136,1,S,G
17100050137,5,B,G
17100050138,0,S,R
17100050139,0,S,R
17100050140,8,B,R
17100050141,1,S,G
17100050142,9,B,G
17100050143,2,S,R
17100050144,3,S,G
17100050145,2,S,R
17100050146,1,S,G
17100050147,5,B,G
17100050148,0,S,R
17100050149,4,S,R
17100050150,5,B,G
17100050151,7,B,G
17100050152,8,B,R
17100050153,0,S,R
17100050154,4,S,R
17100050155,5,B,G
17100050156,0,S,R
17100050157,2,S,R
17100050158,7,B,G
17100050159,2,S,R
17100050160,5,B,G
17100050161,9,B,G
17100050162,0,S,R
17100050163,7,B,G
17100050164,1,S,G
17100050165,1,S,G
17100050166,5,B,G
17100050167,3,S,G
17100050168,5,B,G
17100050169,5,B,G
17100050170,4,S,R
17100050171,1,S,G
17100050172,2,S,R
17100050173,2,S,R
17100050174,9,B,G
17100050175,8,B,R
17100050176,4,S,R
17100050177,0,S,R
17100050178,9,B,G
17100050179,6,B,R
17100050180,1,S,G
17100050181,2,S,R
17100050182,4,S,R
17100050183,1,S,G
17100050184,3,S,G
17100050185,0,S,R
17100050186,5,B,G
17100050187,2,S,R
17100050188,3,S,G
17100050189,9,B,G
17100050190,0,S,R
17100050191,3,S,G
17100050192,2,S,R
17100050193,9,B,G
17100050194,9,B,G
17100050195,2,S,R
17100050196,0,S,R
17100050197,8,B,R
17100050198,7,B,G
17100050199,0,S,R
17100050200,1,S,G
17100050201,3,S,G
17100050202,9,B,G
17100050203,1,S,G
17100050204,6,B,R
17100050205,2,S,R
17100050206,6,B,R
17100050207,4,S,R
17100050208,9,B,G
17100050209,7,B,G
17100050210,6,B,R
17100050211,0,S,R
17100050212,0,S,R
17100050213,2,S,R
17100050214,1,S,G
17100050215,6,B,R
17100050216,5,B,G
17100050217,5,B,G
17100050218,3,S,G
17100050219,2,S,R
17100050220,7,B,G
17100050221,3,S,G
17100050222,8,B,R
17100050223,0,S,R
17100050224,0,S,R
17100050225,8,B,R
17100050226,0,S,R
17100050227,3,S,G
17100050228,1,S,G
17100050229,8,B,R
17100050230,0,S,R
17100050231,5,B,G
17100050232,3,S,G
17100050233,0,S,R
17100050234,5,B,G
17100050235,1,S,G
17100050236,9,B,G
17100050237,5,B,G
17100050238,1,S,G
17100050239,9,B,G
17100050240,0,S,R
17100050241,1,S,G
17100050242,7,B,G
17100050243,9,B,G
17100050244,7,B,G
17100050245,9,B,G
