Ser No,0 to 9,S/B,R/G
1100051605,2,S,R
1100051606,7,B,G
1100051607,0,S,R/V
1100051608,1,S,G
1100051609,2,S,R
1100051610,0,S,R/V
1100051611,7,B,G
1100051612,1,S,G
1100051613,1,S,G
1100051614,7,B,G
1100051615,1,S,G
1100051616,0,S,R/V
1100051617,1,S,G
1100051618,3,S,G
1100051619,4,S,R
1100051620,1,S,G
1100051621,4,S,R
1100051622,5,B,G/V
1100051623,9,B,G
1100051624,8,B,R
1100051625,1,S,G
1100051626,7,B,G
1100051627,0,S,R/V
1100051628,9,B,G
1100051629,3,S,G
1100051630,3,S,G
1100051631,2,S,R
1100051632,3,S,G
1100051633,6,B,R
1100051634,6,B,R
1100051635,8,B,R
1100051636,6,B,R
1100051637,5,B,G/V
1100051638,0,S,R/V
1100051639,4,S,R
1100051640,0,S,R/V
1100051641,3,S,G
1100051642,1,S,G
1100051643,7,B,G
1100051644,0,S,R/V
1100051645,6,B,R
1100051646,9,B,G
1100051647,8,B,R
1100051648,7,B,G
1100051649,4,S,R
1100051650,0,S,R/V
1100051651,0,S,R/V
1100051652,3,S,G
1100051653,2,S,R
1100051654,7,B,G
1100051655,5,B,G/V
1100051656,2,S,R
1100051657,8,B,R
1100051658,4,S,R
1100051659,5,B,G/V
1100051660,1,S,G
1100051661,5,B,G/V
1100051662,4,S,R
1100051663,6,B,R
1100051664,3,S,G
1100051665,7,B,G
1100051666,9,B,G
1100051667,1,S,G
1100051668,3,S,G
1100051669,3,S,G
1100051670,0,S,R/V
1100051671,1,S,G
1100051672,8,B,R
1100051673,0,S,R/V
1100051674,0,S,R/V
1100051675,8,B,R
1100051676,4,S,R
1100051677,6,B,R
1100051678,7,B,G
1100051679,9,B,G
1100051680,6,B,R
1100051681,4,S,R
1100051682,9,B,G
1100051683,0,S,R/V
1100051684,6,B,R
1100051685,8,B,R
1100051686,2,S,R
1100051687,8,B,R
1100051688,7,B,G
1100051689,7,B,G
1100051690,3,S,G
1100051691,0,S,R/V
1100051692,4,S,R
1100051693,0,S,R/V
1100051694,2,S,R
1100051695,2,S,R
1100051696,1,S,G
1100051697,5,B,G/V
1100051698,8,B,R
1100051699,4,S,R
1100051700,2,S,R
1100051701,9,B,G
1100051702,3,S,G
1100051703,1,S,G
1100051704,7,B,G
1100051705,5,B,G/V
1100051706,9,B,G
1100051707,7,B,G
1100051708,1,S,G
1100051709,4,S,R
1100051710,0,S,R/V
1100051711,0,S,R/V
1100051712,8,B,R
1100051713,9,B,G
1100051714,5,B,G/V
1100051715,7,B,G
1100051716,7,B,G
1100051717,5,B,G/V
1100051718,2,S,R
1100051719,9,B,G
1100051720,9,B,G
1100051721,3,S,G
1100051722,8,B,R
1100051723,0,S,R/V
1100051724,9,B,G
1100051725,1,S,G
1100051726,3,S,G
1100051727,9,B,G
1100051728,3,S,G
1100051729,6,B,R
1100051730,8,B,R
1100051731,2,S,R
1100051732,0,S,R/V
1100051733,3,S,G
1100051734,8,B,R
1100051735,1,S,G
1100051736,5,B,G/V
1100051737,3,S,G
1100051738,8,B,R
1100051739,0,S,R/V
1100051740,7,B,G
1100051741,5,B,G/V
1100051742,6,B,R
1100051743,8,B,R
1100051744,9,B,G
1100051745,3,S,G
1100051746,0,S,R/V
1100051747,6,B,R
1100051748,1,S,G
1100051749,9,B,G
1100051750,6,B,R
